;clip_index;movie_id;annotator;label;concepts;comment;start_frame;end_frame;imdb_key;movie_title;framerate;subtitle;start_clip;end_clip
0;id_0;48;annotator1;Easy Negative;[];['credits'];0;2782;tt0097576;Indiana Jones and the Last Crusade;23.976;;0;173
1;id_1;48;annotator1;Easy Negative;[];['credits minimal dialogue'];2783;3563;tt0097576;Indiana Jones and the Last Crusade;23.976; Dismount! Herman's horsesick! Chaps, no one wander off. Some of the passageways in here can run for miles.;173;222
2;id_2;48;annotator1;Easy Negative;[];['young indy, nothing to annotate'];3564;17000;tt0097576;Indiana Jones and the Last Crusade;23.976;" I don't think this is such a good idea. What is it? Alfred, did you get anything yet? Nothing. Then keep digging. The kid's got something! Whoo! Yeehoo! I got something, Garth! I got something... I got something right here. Oh, look at that! Whoo! We're rich! We're rich! Shut up. Shut up. Well, we're rich, ain't we? Indy... Indy? What are they doing? Indiana? Indiana? Shh! Hey, we got to find more stuff to bring back. It's the Cross of Coronado. Cortez gave it to him in 1520. Ah! Oh, boy! Whoo! I'm thinkin' about raisin' my dead mama, dig down and put it on her bony finger! That cross is an important artifact. It belongs in a museum. Run back and find the others. Tell Mr.Havelock that there are men looting in the caves. Have him bring the sheriff. It's only a snake. Did you hear what I said? Right. Run back... Mr.Havelock... the sheriff... What, what are you gonna do? I don't know. I'll think of something. Dig with your hands, not with your mouth. He's got our thing! Get him! Get off me! Mr.Havelock! Anybody! Everybody's lost but me. There he is! Let's go! Let's go! Hey! Hey, you! Dang it! Hyah! Hyah! Hey! Come back here! Come on! Get him! Hey, come back here! Oh! Aah... Oh! Here, let me. Oh, oh... Holy smokes! Come on, kid. There's no way out of this. Hey! Toss up the whip. You got heart, kid, but that belongs to me. It belongs to Coronado. Coronado is dead, and so are all of his grandchildren. This should be in a museum. Now give it back! A snake! Snake! Aah! Don't let him get away! Magic? Hold it. Make sure he doesn't double back. Okay, kid, out of the box, now. Son of a... Damn. Dad! Dad! Dad. Dad... Out. It's important. Then wait. Count to 20. No, Dad. You listen to me. Junior! One, two, three, four... In Greek. ""May he who illuminated this... illuminate me."" I brought the sheriff. Just the man I want to see. Now, there were five or six of them... It's all right, son. They came after me... You still got it? Well, yes, sir. It's right here. I'm glad to see that... because the rightful owner of this cross won't press charges if you give it back. He's got witnesses, five or six of them. Whoo! Yeah! Good day. You lost today, kid, but it doesn't mean you have to like it.";222;1062
3;id_3;48;annotator1;Easy Negative;[];['stealing back cross'];17001;20480;tt0097576;Indiana Jones and the Last Crusade;23.976; Small world, Dr.Jones. Too small for two of us. This is the second time I've had to reclaim my property from you. That belongs in a museum. So do you. Throw him over the side. Grab him, he's getting away! Stop him!;1062;1279
4;id_4;48;annotator1;Easy Negative;[];[];20481;20887;tt0097576;Indiana Jones and the Last Crusade;23.976; Archaeology is the search for fact... ...not truth. If it's truth you're interested in, Dr.Tyree's philosophy class is right down the hall.;1280;1305
5;id_5;48;annotator1;Easy Negative;[];[];20888;22804;tt0097576;Indiana Jones and the Last Crusade;23.976;" Dr.Tyree's philosophy class is right down the hall. So forget any ideas you've got about lost cities, exotic travel, and digging up the world. We do not follow maps to buried treasure, and ""X"" never, ever, marks the spot. Seventy percent of all archaeology is done in the library. Research. Reading. We cannot afford to take mythology at face value. Next week: ""Egyptology."" Starting with the excavation of Naukratis by Flinders Petrie in 1885. I will be in my office if anybody's got any problems, for the next hour and a half. Marcus, I did it. You've got it! Oh! You know how long I've been looking for that? All your life. All my life. Well done, Indy. Very well done, indeed. This will find a place of honor in our Spanish collection. We can discuss my honorarium over dinner and champagne tonight. Your treat. Yes. My treat.";1305;1425
6;id_6;48;annotator1;Sure;['Voice', 'Appearance', 'Clothing'];['all the girls inribbons and speaking in high pitch voice'];22805;23625;tt0097576;Indiana Jones and the Last Crusade;23.976; My treat. Dr.Jones! Dr.Jones! Shush! Shush! Shush! Dr.Jones, I am so glad you're back. Your mail is on your desk. Here are your phone messages. Dr.Jones, you promised... This is your appointment schedule, and these term papers still haven't been graded. Okay. Irene, put everybody's name on a list, get the order they arrived... Oh, come on, Dr.Jones. Dr.Jones. ...and I'll see each and every one of them... in turn.;1425;1476
7;id_7;48;annotator1;Easy Negative;[];[];23626;23845;tt0097576;Indiana Jones and the Last Crusade;23.976;" ""Venice, Italy.""";1476;1490
8;id_8;48;annotator1;Sure;['Voice'];['girls at door like zombies'];23846;23942;tt0097576;Indiana Jones and the Last Crusade;23.976;" ""Venice, Italy.""";1490;1496
9;id_9;48;annotator1;Easy Negative;[];[];23943;28178;tt0097576;Indiana Jones and the Last Crusade;23.976;" Dr.Jones! Dr.Jones? I trust your trip down was comfortable, Dr.Jones. Uh, my men didn't alarm you, I hope. My name is Donovan. Walter Donovan. I know who you are, Mr.Donovan. Your contributions to the museum over the years have been extremely generous. Some of the pieces in your collection here are very impressive. Well, like yourself, Dr.Jones, I have a passion for antiquities. Have a look over here. This might interest you. Well, it's sandstone. Christian symbol. Early Latin text. Mid12th century, I should think. That was our assessment, as well. Where did this come from? My engineers unearthed it in the mountain region north of Ankara while excavating for copper. Can you translate the inscription? ""...who drinks the water I shall give him, says the Lord, ""will have a... spring ""inside him welling up for eternal life. ""Let them bring me to your holy mountain ""in the place where you dwell. ""Across the desert ""and through the mountain ""to the Canyon of the Crescent Moon, to the temple where the cup that..."" ""Where the cup that holds the blood of Jesus Christ resides forever."" The Holy Grail, Dr.Jones. The chalice used by Christ during the Last Supper. The cup that caught His blood at the Crucifixion and was entrusted to Joseph of Arimathea. The Arthur legend. I've heard this bedtime story before. Eternal life, Dr.Jones! The gift of youth to whoever drinks from the Grail. Now, that's a bedtime story I'd like to wake up to. An old man's dream. Every man's dream, including your father's, I believe. Grail lore is his hobby. He's a teacher of medieval literature. The one the students hope they don't get.";1496;1761
